what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738134948421
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1738134952649
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738134956023
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738134968955
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738134972200
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1738134974181
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738134978879
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738134981799
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1738134983509
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738135006746
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1738135007995
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738135031491
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738135034619
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738135035707
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738135038116
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738135040660
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738135042338
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738135049434
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738135051212
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738135051338
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738135052730
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738135073219
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738135080430
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738135087219
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738135088460
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738135089647
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738135090078
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738135090106
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738135099406
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1738135101198
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738135114614
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738135116494
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1738135119208
