what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738301520012
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738301520498
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738301654097
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1738301664928
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1738301670292
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.views.showView",1738301670295
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738301680420
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738301681165
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1738301683204
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738301688340
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738301695530
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738301700329
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738301726335
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738301730468
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1738301732562
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738301732562
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738301732578
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738301732587
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738301732624
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738301732648
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738301736279
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738302049363
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738302054086
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738302062490
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738302062677
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738302062700
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738302066150
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738302081243
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738302081566
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1738302081607
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738302082445
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738302085261
