what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738217535939
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738217536261
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738217586515
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738217588656
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738217598152
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738217599331
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738217604072
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738217605342
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738217608010
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1738217610931
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1738217612495
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1738217614941
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1738217616440
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738217619758
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738217620914
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738217666005
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738217703089
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1738217705672
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738217712302
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738217725485
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738217725633
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738217725673
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738217731004
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738217732341
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.format",1738217733920
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738217735610
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738217735935
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738217771908
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738217773395
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738217774621
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738217777759
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738217778463
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738217780607
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738217781502
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738217789500
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738217792901
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738217793564
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738217794138
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738217795376
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738217796581
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738217813578
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738217813656
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1738217816844
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738217830902
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1738217839243
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738217840605
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738217841494
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738217842693
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738217859667
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1738217883920
