what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.closeUnrelatedProjects",1738305161555
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738305164859
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738305170335
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738305179490
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738305186970
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738305191650
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738305195382
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738305195578
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738305195630
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738305196893
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738305243571
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738305262489
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738305266042
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738305267218
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738305267624
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738305282549
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738305290525
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738305291962
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738305344290
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738305349039
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738305350335
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738305368445
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1738305370055
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738305371914
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738305373122
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738305374845
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738305378058
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738305379406
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738305384647
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.showInformation",1738305384672
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738305387433
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738305394217
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738305395527
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738305397654
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738305399384
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738305402216
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738305408903
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738305409931
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738305412158
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738305425111
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738305427396
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738305477321
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738305478502
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738305480626
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738305493640
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738305494732
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738305495215
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738305495642
