what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1738220601095
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738220601302
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738220613121
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738220632337
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738220654808
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1738220657859
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738220673524
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738220677428
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1738220697374
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738220702404
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738220712853
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738220733210
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738220733993
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738220734238
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738220735456
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738220735772
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738220756173
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738220764418
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738220772450
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738220776950
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738220779101
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738220784110
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738220880297
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738220884413
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738220885724
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738220890889
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738220891473
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1738220926113
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738220929071
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738220942026
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738220942164
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738220942193
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738220946366
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738220962107
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738220963380
