what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738168471178
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738168472099
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738168473502
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738168478314
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738168479463
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738168521604
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738168522500
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738168524136
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1738168525463
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738168528829
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738168536659
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738168536768
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738168536836
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738168540745
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738168543769
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738168545580
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738168566639
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738168567000
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1738168567018
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738168579658
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738168580268
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738168582156
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738168583475
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738168642430
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738168647003
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738168648313
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738168679797
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738168680710
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738168691321
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738168693642
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738168694939
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738168706810
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738168709766
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738168711345
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738168712581
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738168725647
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738168726140
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738168729998
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738168734679
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1738168740773
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738168744723
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738168755800
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738168758853
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738168761521
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738168762280
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738168768311
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738168768431
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738168769237
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738168769522
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738168770363
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738168770483
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738168772310
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738168774051
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738168775317
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738168869276
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738168873098
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738168896876
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738168927510
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738168931924
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738168943321
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738168960393
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738168983225
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738169001982
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738169018801
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738169019824
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738169027004
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738169033705
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738169048466
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738169067932
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738169078424
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738169083153
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738169084740
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1738169103343
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1738169104582
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738169107462
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738169117990
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1738169120547
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738169131303
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738169136983
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738169140605
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1738169143417
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738169185050
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738169206081
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738169220029
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738169249563
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1738169253156
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738169259768
