what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738171619547
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738171625030
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738209075142
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1738209078282
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738209136690
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738209142627
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738209143531
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738209146038
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738209154146
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738209180739
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738209180870
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738209180946
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738209184571
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738209186260
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738209187877
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738209206026
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738209207994
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738209208199
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1738209208225
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738209208700
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738209210489
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738209246909
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738209253128
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738209254888
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738209289247
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738209296776
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738209340279
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738209345885
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738209347239
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738209353040
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738209354033
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738209357927
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738209361814
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738209363808
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738209367643
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738209432719
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738209446635
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738209448332
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1738209454950
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1738209462013
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738209464679
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738209473411
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738209496382
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738209497639
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1738209506703
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738209508514
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1738209510018
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738209519456
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738209523281
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738209524272
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738209541916
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738209543065
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738209552158
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738209556438
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738209557715
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738209586339
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738209589033
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738209598470
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738209604489
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738209614687
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738209622759
