what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738224656403
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738224684570
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738224685870
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738224686868
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738224704369
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1738224707199
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738224716323
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738224718840
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738224724597
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738224726453
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1738224729023
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738224735193
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738224736829
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738224766760
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1738224773709
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1738224775542
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738224776748
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1738224779403
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738224784534
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738224787002
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738224794880
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738224796843
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1738224798647
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738224846646
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738224854974
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738224856817
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738224859509
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738224860821
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738224861173
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1738224861852
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1738224861854
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1738224861871
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1738224861889
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1738224861901
